stock_code,product_description,product_category,avg_unit_price,min_unit_price,max_unit_price,transaction_line_count,completed_line_count
20698,LITTLE PINK MONSTER SOFT TOY,Retail Product,2.55,2.55,2.55,9,9
20699,MOUSEY LONG LEGS SOFT TOY,Retail Product,2.93,0.0,5.06,42,41
20700,GREEN CAT FLORAL CUSHION COVER,Retail Product,4.89,0.0,10.17,55,54
20701,PINK CAT FLORAL CUSHION COVER,Retail Product,3.66,0.0,4.13,20,18
20702,PINK PADDED MOBILE,Retail Product,4.25,0.0,8.29,44,43
20703,BLUE PADDED SOFT MOBILE,Retail Product,4.25,4.25,4.25,4,1
20704,MR ROBOT SOFT TOY,Retail Product,5.87,1.95,14.43,45,44
20705,MRS ROBOT SOFT TOY,Retail Product,4.71,1.95,6.95,29,28
20707,CRAZY DAISY HEART DECORATION,Retail Product,1.09,0.83,2.51,150,149
20711,JUMBO BAG TOYS,Retail Product,3.09,0.0,4.21,534,524
20712,JUMBO BAG WOODLAND ANIMALS,Retail Product,2.92,1.65,5.06,878,869
20713,JUMBO BAG OWLS,Retail Product,2.72,0.0,4.21,684,667
20716,PARTY FOOD SHOPPER BAG,Retail Product,1.28,0.0,2.51,76,74
20717,STRAWBERRY SHOPPER BAG,Retail Product,1.67,0.83,3.36,420,418
20718,RED RETROSPOT SHOPPER BAG,Retail Product,1.77,1.06,3.36,586,581
20719,WOODLAND CHARLOTTE BAG,Retail Product,1.2,0.0,2.51,858,848
20723,STRAWBERRY CHARLOTTE BAG,Retail Product,1.19,0.72,2.51,742,730
20724,RED RETROSPOT CHARLOTTE BAG,Retail Product,1.13,0.0,5.63,1068,1047
20725,LUNCH BAG RED RETROSPOT,Retail Product,2.11,1.45,8.33,1639,1595
20726,LUNCH BAG WOODLAND,Retail Product,2.16,0.0,8.33,1061,1041
20727,LUNCH BAG  BLACK SKULL.,Retail Product,2.09,1.45,8.33,1350,1328
20728,LUNCH BAG CARS BLUE,Retail Product,2.05,1.45,5.06,1197,1174
20731,POSY CANDY BAG,Retail Product,0.92,0.0,1.25,19,16
20733,GOLD MINI TAPE MEASURE,Retail Product,0.85,0.72,1.63,209,208
20734,SILVER MINI TAPE MEASURE,Retail Product,1.62,0.0,2.51,30,27
20735,BLACK MINI TAPE MEASURE,Retail Product,1.1,0.0,2.51,114,112
20738,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
20748,KENSINGTON COFFEE SET,Retail Product,12.72,0.0,24.96,36,34
20749,ASSORTED COLOUR MINI CASES,Retail Product,8.06,6.35,16.98,394,388
20750,RED RETROSPOT MINI CASES,Retail Product,8.12,6.35,16.98,391,387
20751,FUNKY WASHING UP GLOVES ASSORTED,Retail Product,2.33,0.0,4.21,226,224
20752,BLUE POLKADOT WASHING UP GLOVES,Retail Product,2.38,0.0,4.21,154,150
20754,RETROSPOT RED WASHING UP GLOVES,Retail Product,2.5,0.0,4.21,310,308
20755,BLUE PAISLEY POCKET BOOK,Retail Product,0.99,0.85,1.66,63,63
20756,GREEN FERN POCKET BOOK,Retail Product,0.81,0.0,0.85,23,22
20757,RED DAISY POCKET BOOK,Retail Product,0.91,0.85,1.63,36,36
20758,ABSTRACT CIRCLES POCKET BOOK,Retail Product,0.83,0.0,0.85,46,45
20759,CHRYSANTHEMUM POCKET BOOK,Retail Product,0.81,0.0,0.85,21,20
20760,GARDEN PATH POCKET BOOK,Retail Product,0.81,0.0,0.85,23,22
20761,BLUE PAISLEY SKETCHBOOK,Retail Product,4.43,3.75,7.62,66,66
20762,GREEN FERN SKETCHBOOK,Retail Product,4.15,3.75,7.62,56,56
20763,DAISY SKETCHBOOK,Retail Product,3.98,1.25,7.62,27,27
20764,ABSTRACT CIRCLES SKETCHBOOK,Retail Product,4.66,3.75,7.62,78,78
20765,CHRYSANTHEMUM SKETCHBOOK,Retail Product,4.24,3.75,7.62,61,61
20766,GARDEN PATH SKETCHBOOK,Retail Product,4.43,2.95,7.62,60,60
20767,BLUE PAISLEY JOURNAL,Retail Product,2.86,2.1,5.06,82,82
20768,GREEN FERN JOURNAL,Retail Product,2.65,2.1,5.06,56,56
20769,DAISY JOURNAL,Retail Product,2.75,2.46,4.96,34,34
20770,ABSTRACT CIRCLE JOURNAL,Retail Product,2.5,2.1,2.55,73,73
20771,CHRYSANTHEMUM  JOURNAL,Retail Product,2.76,2.46,4.96,41,41
20772,GARDEN PATH JOURNAL,Retail Product,2.75,2.1,5.06,66,65
20773,BLUE PAISLEY NOTEBOOK,Retail Product,1.52,0.0,1.65,26,24
20774,GREEN FERN NOTEBOOK,Retail Product,1.51,0.0,1.65,49,45
20775,DAISY NOTEBOOK,Retail Product,1.67,0.0,3.36,67,65
20777,CHRYSANTHEMUM NOTEBOOK,Retail Product,1.7,1.63,3.36,80,80
20778,GARDEN PATH NOTEBOOK,Retail Product,1.32,0.0,1.65,10,8
20780,BLACK EAR MUFF HEADPHONES,Retail Product,7.62,4.65,11.02,30,30
20781,GOLD EAR MUFF HEADPHONES,Retail Product,5.75,1.95,11.02,29,28
20782,CAMOUFLAGE EAR MUFF HEADPHONES,Retail Product,7.46,1.95,11.02,28,28
20785,FUSCHIA RETRO BAR STOOL,Retail Product,32.62,0.0,39.95,6,5
20793,BLUE TILED TRAY,Retail Product,5.62,0.0,6.75,6,4
20794,BLUE  TILE HOOK,Retail Product,3.51,2.1,5.06,30,28
20795,LARGE BLUE PROVENCAL CERAMIC BALL,Retail Product,2.57,2.1,4.13,13,11
20796,SMALL BLUE PROVENCAL CERAMIC BALL,Retail Product,1.83,1.65,3.29,9,9
20798,CLEAR MILKSHAKE GLASS,Retail Product,1.74,0.0,2.1,7,5
20801,LARGE PINK GLASS SUNDAE DISH,Retail Product,1.57,0.0,5.06,85,82
20802,SMALL GLASS SUNDAE DISH CLEAR,Retail Product,1.91,0.42,3.36,65,63
20803,SMALL PINK GLASS SUNDAE DISH,Retail Product,1.07,0.0,3.36,44,41
20816,GOLD FLOWER CUSHION COVER,Retail Product,1.3,0.0,1.95,3,2
20818,GOLD TEDDY BEAR,Retail Product,5.54,1.25,7.62,5,5
20819,SILVER TEDDY BEAR,Retail Product,4.02,2.46,7.46,27,27
20820,SILVER LOOKING MIRROR,Retail Product,3.3,0.0,4.95,3,2
20821,GOLDIE LOOKING MIRROR,Retail Product,4.4,0.0,4.95,9,6
20823,GOLD WINE GOBLET,Retail Product,0.71,0.0,0.79,10,9
20825,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
20826,SILVER APERITIF GLASS,Retail Product,0.66,0.0,2.12,10,8
20827,GOLD APERITIF GLASS,Retail Product,0.26,0.0,0.39,3,2
20828,GLITTER BUTTERFLY CLIPS,Retail Product,3.16,2.1,5.06,250,250
20829,GLITTER HANGING BUTTERFLY STRING,Retail Product,2.44,1.69,4.21,206,200
20830,SILVER PHOTO FRAME,Retail Product,3.02,2.1,4.21,38,37
20831,GOLD PHOTO FRAME,Retail Product,2.74,0.79,4.21,39,39
20832,RED FLOCK LOVE HEART PHOTO FRAME,Retail Product,0.73,0.0,1.66,86,84
20835,FRENCH LATTICE CUSHION COVER,Retail Product,2.1,0.83,11.02,8,8
20836,FRENCH PAISLEY CUSHION COVER,Retail Product,0.83,0.83,0.83,18,17
20837,FRENCH FLORAL CUSHION COVER,Retail Product,0.97,0.83,2.95,15,15
20838,FRENCH LATTICE CUSHION COVER,Retail Product,1.86,0.85,3.29,58,57
20839,FRENCH PAISLEY CUSHION COVER,Retail Product,2.36,0.0,9.32,106,105
20840,FRENCH FLORAL CUSHION COVER,Retail Product,1.96,0.0,9.32,77,75
20845,ZINC HEART LATTICE 2 WALL PLANTER,Retail Product,6.35,6.35,6.35,11,11
20846,ZINC HEART LATTICE T-LIGHT HOLDER,Retail Product,1.61,1.06,2.51,90,90
20847,ZINC HEART LATTICE CHARGER LARGE,Retail Product,4.59,3.75,7.62,18,18
20848,ZINC HEART LATTICE CHARGER SMALL,Retail Product,2.95,2.95,2.95,8,8
20849,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
20850,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
20851,ZINC HEART LATTICE TRAY OVAL,Retail Product,5.21,0.0,5.95,8,7
20854,BLUE PATCH PURSE PINK HEART,Retail Product,1.61,0.0,3.36,45,42
20856,DENIM PATCH PURSE PINK BUTTERFLY,Retail Product,1.64,0.0,3.29,63,61
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,Retail Product,1.48,0.0,1.65,10,8
20860,GOLD COSMETICS BAG WITH BUTTERFLY,Retail Product,1.05,0.0,2.1,2,1
20861,GOLD COSMETIC BAG PINK STAR,Retail Product,2.1,2.1,2.1,2,2
20863,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
20864,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
20866,BLUE ROSE FABRIC MIRROR,Retail Product,1.47,0.0,2.51,93,91
20867,PINK ROSE FABRIC MIRROR,Retail Product,1.33,0.0,2.51,63,62
20868,SILVER FABRIC MIRROR,Retail Product,0.71,0.39,2.46,46,46
20869,GOLD FABRIC MIRROR,Retail Product,0.72,0.39,2.46,30,30
20871,OPULENT VELVET SET/3 CANDLES,Retail Product,4.21,4.21,4.21,1,1
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED,Retail Product,1.11,0.0,1.25,9,8
20886,BOX OF 9 PEBBLE CANDLES,Retail Product,2.42,0.0,4.21,108,105
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,Retail Product,10.62,0.0,25.49,6,3
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,Retail Product,2.81,0.0,5.06,30,27
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,Retail Product,3.71,2.95,5.79,15,15
20896,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
20897,VINTAGE NOTEBOOK PARIS DAYS,Retail Product,3.16,2.46,5.91,26,24
20898,VINTAGE NOTEBOOK TRAVELOGUE,Retail Product,2.49,0.0,2.95,16,14
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,Retail Product,4.65,4.13,6.35,17,16
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,Retail Product,6.82,0.0,12.72,57,56
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,Retail Product,5.48,0.0,12.72,57,56
20906,VINTAGE NOTEBOOK BEAUTY GIRL,Retail Product,1.97,0.0,2.95,3,2
20910,VINTAGE PHOTO ALBUM PARIS DAYS,Retail Product,4.76,0.0,6.35,4,3
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,Retail Product,3.27,2.55,5.91,937,903
20931,BLUE POT PLANT CANDLE,Retail Product,4.98,1.25,7.62,71,68
20932,PINK POT PLANT CANDLE,Retail Product,4.58,1.25,7.62,37,35
20933,YELLOW POT PLANT CANDLE,Retail Product,2.82,0.0,3.75,10,9
20934,SET/3 POT PLANT CANDLES,Retail Product,6.74,0.0,11.02,37,32
20935,ROUND CACTUS CANDLE,Retail Product,2.95,2.95,2.95,4,4
20936,FORKED CACTUS CANDLE,Retail Product,3.71,1.25,5.91,35,34
20941,FROG CANDLE,Retail Product,1.25,0.0,2.51,23,20
20950,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
20954,*USB Office Mirror Ball,Retail Product,5.65,0.0,8.47,3,2
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,Retail Product,1.72,0.0,2.51,108,103
20957,PORCELAIN HANGING BELL SMALL,Retail Product,1.45,1.45,1.45,1,0
20960,WATERMELON BATH SPONGE,Retail Product,2.49,2.46,2.51,10,10
20961,STRAWBERRY BATH SPONGE,Retail Product,1.79,1.25,2.51,232,231
20963,APPLE BATH SPONGE,Retail Product,1.82,1.25,2.51,233,233
20964,POLYESTER FILLER PAD 60x40cm,Retail Product,1.27,0.0,2.55,2,1
20966,SANDWICH BATH SPONGE,Retail Product,1.88,0.0,2.51,101,97
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,Retail Product,4.02,0.0,7.62,86,84
20969,RED FLORAL FELTCRAFT SHOULDER BAG,Retail Product,4.26,3.29,7.62,311,308
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,Retail Product,4.19,3.39,7.62,266,264
20971,PINK BLUE FELT CRAFT TRINKET BOX,Retail Product,1.42,1.06,2.95,538,533
20972,PINK CREAM FELT CRAFT TRINKET BOX,Retail Product,1.42,1.06,2.51,633,631
20973,12 PENCIL SMALL TUBE WOODLAND,Retail Product,0.78,0.0,1.5,375,370
20974,12 PENCILS SMALL TUBE SKULL,Retail Product,0.75,0.55,1.28,370,367
20975,12 PENCILS SMALL TUBE RED RETROSPOT,Retail Product,0.73,0.0,1.28,378,370
20977,36 PENCILS TUBE WOODLAND,Retail Product,1.49,0.0,2.95,194,188
20978,36 PENCILS TUBE SKULLS,Retail Product,1.61,1.06,2.51,270,269
20979,36 PENCILS TUBE RED RETROSPOT,Retail Product,1.57,1.06,2.51,345,329
20980,36 PENCILS TUBE POSY,Retail Product,1.02,0.0,1.25,22,20
20981,12 PENCILS TALL TUBE WOODLAND,Retail Product,0.96,0.85,1.66,256,252
